"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"Get It Recruit - Information Technology","python","ERM Data Analyst","Full-time","Anywhere","$184,000.00","2023-06-09 08:01:04"
"Get It Recruit - Information Technology","sql","ERM Data Analyst","Full-time","Anywhere","$184,000.00","2023-06-09 08:01:04"
"Zoom Video Communications","python","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Zoom Video Communications","r","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Zoom Video Communications","sql","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Zoom Video Communications","zoom","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Zoom Video Communications","jira","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Zoom Video Communications","tableau","Senior Data Analyst, GTM (South Bay, CA or Remote)","Full-time","Anywhere","$181,000.00","2023-05-27 06:00:27"
"Fastly","bigquery","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","spark","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","jupyter","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","github","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","rust","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","golang","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","javascript","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","scala","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","python","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"Fastly","sql","Senior Data Analyst, Bot Management and Anti-Fraud","Full-time","Anywhere","$178,500.00","2023-02-01 20:01:14"
"AT&T","pandas","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","spss","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","sas","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","ggplot2","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","power bi","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","tableau","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","plotly","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","python","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","r","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","sas","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","databricks","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","oracle","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
"AT&T","matplotlib","Senior Advanced Analytics","Full-time","Anywhere","$174,000.00","2023-07-20 21:02:02"
